Identificador,Producto,Categoria,Precio
1,Lego Star Wars,Juguetes,18629.23
2,Resaltadores Stabilo,Papelería,12771.85
3,Post-it 3M,Papelería,18407.48
4,Drone DJI Mini,Juguetes,7538.4
5,Tren Thomas,Juguetes,5277.27
6,Refrigerador Mabe,Hogar,4744.3
7,Smartwatch Garmin,Electrónica,19079.38
8,Camiseta marca Nike,Ropa,14669.59
9,Refrigerador Mabe 4110,Hogar,2966.15
10,Rompecabezas Ravensburger,Juguetes,19510.84
11,Pluma Bic,Papelería,6578.49
12,Corrector Paper Mate,Papelería,5569.57
13,Marcadores Sharpie,Papelería,4240.34
14,Chamarra North Face,Ropa,10150.12
15,Batidora KitchenAid,Hogar,5969.09
16,Rompecabezas Ravensburger 1824,Juguetes,8527.81
17,Cámara Canon,Electrónica,16472.38
18,Botines Dr Martens,Calzado,12168.44
19,Tablet Apple,Electrónica,15392.65
20,Lapicera Maped,Papelería,15483.33
21,Aspiradora Dyson,Hogar,14328.19
22,Batidora KitchenAid 1140,Hogar,3989.18
23,Tenis Vans,Calzado,832.7
24,Plancha Philips,Hogar,10577.36
25,Plancha Philips 2196,Hogar,1324.29
26,Ventilador Taurus,Hogar,13745.36
27,Plancha Philips 7743,Hogar,8258.47
28,Drone DJI Mini 6771,Juguetes,8112.69
29,Sandalias Crocs,Calzado,15942.74
30,Licuadora Oster,Hogar,233.32
31,Sandalias Crocs 5982,Calzado,19340.84
32,Laptop Lenovo,Electrónica,14413.87
33,Teléfono Samsung,Electrónica,9425
34,Mocasines Gucci,Calzado,9505.16
35,Refrigerador Mabe 2028,Hogar,19709.51
36,Lego Star Wars 8722,Juguetes,4697.13
37,Figura Funko Pop,Juguetes,17720.15
38,Lego Star Wars 7729,Juguetes,4063.48
39,Traje Hugo Boss,Ropa,12468.28
40,Teléfono Samsung 3581,Electrónica,16440.84
41,Lego Star Wars 9989,Juguetes,8276.54
42,Sudadera Adidas,Ropa,18331.56
43,Tostadora Hamilton,Hogar,11131.41
44,Carpeta Office Depot,Papelería,18867.65
45,Carro Hot Wheels,Juguetes,14551.45
46,Polo Lacoste,Ropa,18433.1
47,Plancha Philips 9696,Hogar,1275.27
48,Batidora KitchenAid 9065,Hogar,3219.96
